DateMonth,client,noOfTickets
2018/04,SCHWAB,19
2018/04,SEI,107
2018/04,SELECTIVE,10
2018/04,SENTINEL,5
2018/04,SGCP,4
2018/04,SH1,6
2018/04,SMAM,10
2018/04,STANDISH,1
2018/04,STT-PA,1
2018/04,SUNLIFE,48
2018/04,SUNSUPER,12
2018/04,SURAAM,17
2018/04,SW1,8
2018/04,SWISSRE,54
2018/04,TDBANK,5
2018/04,TEA,14
2018/04,TFL,4
2018/04,TOKMAR,40
2018/04,TWG,2
2018/04,UAWRMBT,31
2018/04,UBSWM,4
2018/04,UCREGENTS,45
2018/04,UNIONBANK,14
2018/04,UP1,20
2018/04,VALIDUS,5
2018/04,VANGUARD,73
2018/04,VIMCO,27
2018/04,VRS,16
2018/04,WACHOVIA,33
2018/04,WATFORD,6
2018/04,WBLAIR,8
2018/04,WRBERKLEY,15
2018/05,,189
2018/05,1199,7
2018/05,ABN,7
2018/05,AC1,49
2018/05,AEG,28
2018/05,AEGONUK,2
2018/05,AFLAC,21
2018/05,AGFSA,2
2018/05,AHSS,8
2018/05,AKAAN,7
2018/05,ALIMCO,2
2018/05,ALLEGHANY,3
2018/05,ALLSTATE,56
2018/05,AMBAC,10
2018/05,AMCAP,4
2018/05,AMFAM,22
2018/05,AMP,24
2018/05,APFC,9
2018/05,ARCH,55
2018/05,ARGO,14
2018/05,ARMOUR,9
2018/05,ASPEN,2
2018/05,ATHENE,15
2018/05,ATT,5
2018/05,AUSSUPER,16
2018/05,AVIVA,158
2018/05,AWAC,18
2018/05,AXIS,14
2018/05,BANAMEX,37
2018/05,BCBSM,6
2018/05,BEN,5
2018/05,BHF,59
2018/05,BLK,2928
2018/05,BNPPAM,16
2018/05,BNY,17
2018/05,BNYMAS,40
2018/05,BOCI PRU,1
2018/05,BOEING,74
2018/05,BRAEBURN,3
2018/05,BSP,16
2018/05,CAL,20
2018/05,CALSTRS,28
2018/05,CANO,15
2018/05,CAPGROUP,63
2018/05,CATLIN,32
2018/05,CFS,42
2018/05,CHIMERA,4
2018/05,COAL,8
2018/05,COMPASS,12
2018/05,CSAM,45
2018/05,DAN,1
2018/05,DAWM,661
2018/05,DELLIFE,1
2018/05,DISNEY,21
2018/05,DLG,18
2018/05,DTCC,52
2018/05,DYNEX,14
2018/05,EASTSPRING,147
2018/05,EATONVANCE,83
2018/05,ENDUR,64
2018/05,ENS,15
2018/05,EQUITRUST,7
2018/05,EdwardJones,5
2018/05,FANNIEMAE,4
2018/05,FITB,45
2018/05,FRBNY,4
2018/05,FRE,43
2018/05,GAFG,42
2018/05,GEAM,37
2018/05,GENWORTH,15
2018/05,GIC,64
2018/05,GMAC,9
2018/05,GOOGLE,2
2018/05,GREYCASTLE,1
2018/05,GSMM,4
2018/05,GUGGENHEIM,47
2018/05,HCSC,15
2018/05,HIC,16
2018/05,HIERS,7
2018/05,HIM,113
2018/05,HMANN,9
2018/05,HORIZON,2
2018/05,IBM,1
2018/05,IIM,65
2018/05,ILLTRS,29
2018/05,ING,93
2018/05,INVESCO,129
2018/05,ISSSTE,6
2018/05,JPM-Pension,13
2018/05,JPM-Team,32
2018/05,JUPITER,37
2018/05,KRK,46
2018/05,LANC,74
2018/05,LB2,11
2018/05,LCP,21
2018/05,LMGINV,39
2018/05,LW1,6
2018/05,Latvijas Banka,11
2018/05,MEAG,28
2018/05,MERCK,9
2018/05,METAFORE,4
2018/05,METLIFE,81
2018/05,MHTB,2
2018/05,MICHELIN,7
2018/05,MIZUHO,49
2018/05,MIZUHOBANK,19
2018/05,MO1,6
2018/05,MS-INS,8
2018/05,MSIM,103
2018/05,NBG,56
2018/05,NDRIO,11
2018/05,NGUKPS,6
2018/05,NIK,2
2018/05,NJM,6
2018/05,NLI,1
2018/05,NMXERB,46
2018/05,NOKIA,7
2018/05,NOVAE,4
2018/05,NT,16
2018/05,NTGA,7
2018/05,NTGI,30
2018/05,NWM,23
2018/05,NYLIM,26
2018/05,NYSCRF,60
2018/05,NYSIF,14
2018/05,OCICL,2
2018/05,ONEAMERICA,5
2018/05,ONEWEST,10
2018/05,ONFA,10
2018/05,OREGON,8
2018/05,PARTNERRE,3
2018/05,PB2,12
2018/05,PBGC,13
2018/05,PD1,77
2018/05,PFA,3
2018/05,PG1,26
2018/05,PIONEER,111
2018/05,PNC,73
2018/05,PPF,68
2018/05,PPMG,127
2018/05,PRINCIPAL,25
2018/05,PRU,77
2018/05,PRUGP,5
2018/05,PSERS,9
2018/05,QIC,34
2018/05,QUALCOMM,5
2018/05,RAYTHEON,41
2018/05,RED,13
2018/05,REGIONS,21
2018/05,RENRE,20
2018/05,REUTERS,11
2018/05,RGA,21
2018/05,RVSI,117
2018/05,SCHRODERS,183
2018/05,SCHWAB,6
2018/05,SEI,141
2018/05,SELECTIVE,1
2018/05,SENTINEL,9
2018/05,SGCP,2
2018/05,SH1,10
2018/05,SLOAN,2
2018/05,SMAM,11
2018/05,SPC,3
2018/05,SUNLIFE,17
2018/05,SUNSUPER,15
2018/05,SURAAM,19
2018/05,SW1,9
2018/05,SWISSRE,56
2018/05,TDBANK,3
2018/05,TEA,13
2018/05,TFL,4
2018/05,TOKMAR,45
2018/05,TWG,1
2018/05,UAWRMBT,44
2018/05,UBSWM,9
2018/05,UCREGENTS,41
2018/05,UNIONBANK,23
2018/05,UP1,38
2018/05,VALIDUS,10
2018/05,VANGUARD,76
2018/05,VIMCO,23
2018/05,VRS,5
2018/05,WACHOVIA,21
2018/05,WATFORD,3
2018/05,WBLAIR,2
2018/05,WRBERKLEY,14
2018/06,,207
2018/06,1199,6
2018/06,ABN,8
2018/06,AC1,37
2018/06,AEG,41
2018/06,AEGONUK,3
2018/06,AFLAC,28
2018/06,AGFSA,6
2018/06,AHSS,24
2018/06,AIRBUS,4
2018/06,AKAAN,12
2018/06,ALIMCO,6
2018/06,ALLEGHANY,4
2018/06,ALLSTATE,68
2018/06,AMBAC,23
2018/06,AMCAP,1
2018/06,AMFAM,15
2018/06,AMP,17
2018/06,APFC,10
2018/06,ARCH,47
2018/06,ARGO,9
2018/06,ARMOUR,13
2018/06,ASPEN,6
2018/06,ATHENE,20
2018/06,ATT,3
2018/06,AUSSUPER,9
2018/06,AVIVA,102
2018/06,AWAC,15
2018/06,AXIS,35
2018/06,BANAMEX,46
2018/06,BCBSM,3
2018/06,BEN,1
2018/06,BHF,67
2018/06,BKI,1
2018/06,BLK,2361
2018/06,BNPPAM,23
2018/06,BNY,21
2018/06,BNYMAS,48
